language,glottocode,family,correlation,sim
Midob,mido1240,,0.015309940914220362,0
Midob,mido1240,,0.0016286353954103423,1
Midob,mido1240,,-0.0555059940621578,2
Midob,mido1240,,-0.021803779787564172,3
Midob,mido1240,,0.018211452260866928,4
Midob,mido1240,,0.07955855885721651,5
Midob,mido1240,,0.004667873449613521,6
Midob,mido1240,,0.014138912820503278,7
Midob,mido1240,,-0.05323092247245932,8
Midob,mido1240,,0.10867271480699567,9
Nage,nage1237,Austronesian,-0.03158572143250968,0
Nage,nage1237,Austronesian,0.039131801327527055,1
Nage,nage1237,Austronesian,-0.021445974647526497,2
Nage,nage1237,Austronesian,-0.02733389707187265,3
Nage,nage1237,Austronesian,-0.037149576682851106,4
Nage,nage1237,Austronesian,-0.007992549233852186,5
Nage,nage1237,Austronesian,-0.02160194288243608,6
Nage,nage1237,Austronesian,0.0289527743999769,7
Nage,nage1237,Austronesian,0.052394225965414494,8
Nage,nage1237,Austronesian,0.0036765927052415017,9
Ignaciano,igna1246,Arawakan,-0.003390007468432654,0
Ignaciano,igna1246,Arawakan,0.0062764171803121,1
Ignaciano,igna1246,Arawakan,0.020824627369057706,2
Ignaciano,igna1246,Arawakan,-0.014821509114380377,3
Ignaciano,igna1246,Arawakan,0.006519598905751035,4
Ignaciano,igna1246,Arawakan,-0.0767342725846859,5
Ignaciano,igna1246,Arawakan,0.03136720746691167,6
Ignaciano,igna1246,Arawakan,0.027258815179884495,7
Ignaciano,igna1246,Arawakan,-0.016786672633853163,8
Ignaciano,igna1246,Arawakan,-6.147328348599795e-07,9
Lengua,leng1262,,0.01763907215809882,0
Lengua,leng1262,,-0.049373622192615436,1
Lengua,leng1262,,-0.017045756080049896,2
Lengua,leng1262,,-0.015529121456882513,3
Lengua,leng1262,,-0.005675851048779467,4
Lengua,leng1262,,0.03657197185552851,5
Lengua,leng1262,,0.08050290959044944,6
Lengua,leng1262,,0.008139094546462904,7
Lengua,leng1262,,0.03516828994490856,8
Lengua,leng1262,,0.008325587881721542,9
Sindhi,sind1272,Indo-European,-0.019162649149656322,0
Sindhi,sind1272,Indo-European,-0.009628096256113659,1
Sindhi,sind1272,Indo-European,0.007707473691720401,2
Sindhi,sind1272,Indo-European,0.013681845264819196,3
Sindhi,sind1272,Indo-European,-0.006805184642311789,4
Sindhi,sind1272,Indo-European,-0.02929224594120619,5
Sindhi,sind1272,Indo-European,-0.03374532805420239,6
Sindhi,sind1272,Indo-European,-0.015675412871735128,7
Sindhi,sind1272,Indo-European,0.04868365402476654,8
Sindhi,sind1272,Indo-European,-0.031726172476940165,9
Tetela,tete1250,Atlantic-Congo,-0.026229817939516713,0
Tetela,tete1250,Atlantic-Congo,-0.0016441160797267007,1
Tetela,tete1250,Atlantic-Congo,0.04015515748641802,2
Tetela,tete1250,Atlantic-Congo,-0.017665227420647946,3
Tetela,tete1250,Atlantic-Congo,0.0634886876891849,4
Tetela,tete1250,Atlantic-Congo,-0.01587029733727813,5
Tetela,tete1250,Atlantic-Congo,-0.020753921278794524,6
Tetela,tete1250,Atlantic-Congo,0.12811883306199404,7
Tetela,tete1250,Atlantic-Congo,-0.02026982080290096,8
Tetela,tete1250,Atlantic-Congo,0.02836461419480648,9
Eastern Mari,east2328,Uralic,-0.011731575811872723,0
Eastern Mari,east2328,Uralic,-0.0038897655730388684,1
Eastern Mari,east2328,Uralic,0.020772252282893502,2
Eastern Mari,east2328,Uralic,-0.011281031357163435,3
Eastern Mari,east2328,Uralic,-0.023027970068553994,4
Eastern Mari,east2328,Uralic,-0.007151211460415013,5
Eastern Mari,east2328,Uralic,0.016489705901314666,6
Eastern Mari,east2328,Uralic,-0.0189683161933056,7
Eastern Mari,east2328,Uralic,0.028582193087877426,8
Eastern Mari,east2328,Uralic,-0.018487531467995647,9
Tuscarora,tusc1257,,0.016666318806399665,0
Tuscarora,tusc1257,,0.03245495376825565,1
Tuscarora,tusc1257,,0.005097981697973957,2
Tuscarora,tusc1257,,0.024313491072810507,3
Tuscarora,tusc1257,,-0.009938790395377976,4
Tuscarora,tusc1257,,0.01462095824652947,5
Tuscarora,tusc1257,,0.0650639467115746,6
Tuscarora,tusc1257,,-0.017342747434444538,7
Tuscarora,tusc1257,,-0.03331464915660552,8
Tuscarora,tusc1257,,0.053405623133547825,9
Karruwali,karr1236,Pama-Nyungan,0.030551508065448197,0
Karruwali,karr1236,Pama-Nyungan,-0.024815083636110673,1
Karruwali,karr1236,Pama-Nyungan,0.31202655644166066,2
Karruwali,karr1236,Pama-Nyungan,0.32767545502366857,3
Karruwali,karr1236,Pama-Nyungan,-0.06014738469827745,4
Karruwali,karr1236,Pama-Nyungan,-0.3703429819937213,5
Karruwali,karr1236,Pama-Nyungan,-0.05971595274066031,6
Karruwali,karr1236,Pama-Nyungan,-0.1594977094342691,7
Karruwali,karr1236,Pama-Nyungan,-0.19975086111647555,8
Karruwali,karr1236,Pama-Nyungan,0.2850119671691087,9
Lamaholot,lama1277,Austronesian,-0.06150040070143023,0
Lamaholot,lama1277,Austronesian,0.09541123562764424,1
Lamaholot,lama1277,Austronesian,-0.019175266235553705,2
Lamaholot,lama1277,Austronesian,0.15413340372215759,3
Lamaholot,lama1277,Austronesian,-0.0009081491249696634,4
Lamaholot,lama1277,Austronesian,-0.057370608026156844,5
Lamaholot,lama1277,Austronesian,0.2006124189248616,6
Lamaholot,lama1277,Austronesian,0.15244791028405058,7
Lamaholot,lama1277,Austronesian,-0.007152061181409596,8
Lamaholot,lama1277,Austronesian,-0.05336289286191668,9
Yerukula,yeru1240,Dravidian,-0.011264949577565476,0
Yerukula,yeru1240,Dravidian,-0.04666923827508549,1
Yerukula,yeru1240,Dravidian,-0.04736496153705003,2
Yerukula,yeru1240,Dravidian,-0.04042579351891141,3
Yerukula,yeru1240,Dravidian,-0.0307852569501248,4
Yerukula,yeru1240,Dravidian,-0.05122832298790098,5
Yerukula,yeru1240,Dravidian,0.00321245719283855,6
Yerukula,yeru1240,Dravidian,0.006690785423719283,7
Yerukula,yeru1240,Dravidian,-0.0028733607735937808,8
Yerukula,yeru1240,Dravidian,0.003123894989602771,9
Sumbwa,sumb1240,Atlantic-Congo,-0.025555711426363613,0
Sumbwa,sumb1240,Atlantic-Congo,0.057209499821125644,1
Sumbwa,sumb1240,Atlantic-Congo,-0.05630425852371627,2
Sumbwa,sumb1240,Atlantic-Congo,0.0061415288256768796,3
Sumbwa,sumb1240,Atlantic-Congo,-0.017466061641786216,4
Sumbwa,sumb1240,Atlantic-Congo,0.0686012039998117,5
Sumbwa,sumb1240,Atlantic-Congo,0.05241105396814232,6
Sumbwa,sumb1240,Atlantic-Congo,0.01924708297498644,7
Sumbwa,sumb1240,Atlantic-Congo,-0.020353910879342095,8
Sumbwa,sumb1240,Atlantic-Congo,0.05537013399850888,9
Maragus,mara1399,Austronesian,-0.028024495095846938,0
Maragus,mara1399,Austronesian,-0.04299324488077713,1
Maragus,mara1399,Austronesian,-0.04767265683141839,2
Maragus,mara1399,Austronesian,0.004904733794395374,3
Maragus,mara1399,Austronesian,0.006444959694913389,4
Maragus,mara1399,Austronesian,-0.014372985619521828,5
Maragus,mara1399,Austronesian,-0.040581462140123134,6
Maragus,mara1399,Austronesian,0.007433122268321097,7
Maragus,mara1399,Austronesian,-0.01575229427200697,8
Maragus,mara1399,Austronesian,0.05129726504365978,9
Tidore,tido1248,,0.010702877496435871,0
Tidore,tido1248,,-0.0034745449559294966,1
Tidore,tido1248,,0.012243115833090545,2
Tidore,tido1248,,0.018294830488625572,3
Tidore,tido1248,,0.0005439176336919961,4
Tidore,tido1248,,-0.04001669456285886,5
Tidore,tido1248,,0.02640036983226473,6
Tidore,tido1248,,-0.01647657993644755,7
Tidore,tido1248,,0.01219573432726068,8
Tidore,tido1248,,0.07151647382125839,9
Sinitic,sini1245,Sino-Tibetan,-0.023684592725586658,0
Sinitic,sini1245,Sino-Tibetan,0.02304005453485594,1
Sinitic,sini1245,Sino-Tibetan,0.0003689400796684614,2
Sinitic,sini1245,Sino-Tibetan,0.019854244310929754,3
