language,glottocode,language_family,count,prop,n_kintypes,data_type
simulation_0,na,na,23,0.4791666666666667,48,simulated
simulation_1,na,na,17,0.3541666666666667,48,simulated
simulation_2,na,na,25,0.5208333333333334,48,simulated
simulation_3,na,na,23,0.4791666666666667,48,simulated
simulation_4,na,na,20,0.4166666666666667,48,simulated
simulation_5,na,na,24,0.5,48,simulated
simulation_6,na,na,23,0.4791666666666667,48,simulated
simulation_7,na,na,20,0.4166666666666667,48,simulated
simulation_8,na,na,14,0.2916666666666667,48,simulated
simulation_9,na,na,22,0.4583333333333333,48,simulated
simulation_10,na,na,22,0.4583333333333333,48,simulated
simulation_11,na,na,23,0.4791666666666667,48,simulated
simulation_12,na,na,22,0.4583333333333333,48,simulated
simulation_13,na,na,18,0.375,48,simulated
simulation_14,na,na,21,0.4375,48,simulated
simulation_15,na,na,21,0.4375,48,simulated
simulation_16,na,na,19,0.3958333333333333,48,simulated
simulation_17,na,na,24,0.5,48,simulated
simulation_18,na,na,24,0.5,48,simulated
simulation_19,na,na,19,0.3958333333333333,48,simulated
simulation_20,na,na,22,0.4583333333333333,48,simulated
simulation_21,na,na,21,0.4375,48,simulated
simulation_22,na,na,22,0.4583333333333333,48,simulated
simulation_23,na,na,20,0.4166666666666667,48,simulated
simulation_24,na,na,22,0.4583333333333333,48,simulated
simulation_25,na,na,19,0.3958333333333333,48,simulated
simulation_26,na,na,21,0.4375,48,simulated
simulation_27,na,na,22,0.4583333333333333,48,simulated
simulation_28,na,na,18,0.375,48,simulated
simulation_29,na,na,20,0.4166666666666667,48,simulated
simulation_30,na,na,25,0.5208333333333334,48,simulated
simulation_31,na,na,19,0.3958333333333333,48,simulated
simulation_32,na,na,16,0.3333333333333333,48,simulated
simulation_33,na,na,20,0.4166666666666667,48,simulated
simulation_34,na,na,23,0.4791666666666667,48,simulated
simulation_35,na,na,23,0.4791666666666667,48,simulated
simulation_36,na,na,19,0.3958333333333333,48,simulated
simulation_37,na,na,25,0.5208333333333334,48,simulated
simulation_38,na,na,21,0.4375,48,simulated
simulation_39,na,na,19,0.3958333333333333,48,simulated
simulation_40,na,na,21,0.4375,48,simulated
simulation_41,na,na,20,0.4166666666666667,48,simulated
simulation_42,na,na,17,0.3541666666666667,48,simulated
simulation_43,na,na,24,0.5,48,simulated
simulation_44,na,na,21,0.4375,48,simulated
simulation_45,na,na,25,0.5208333333333334,48,simulated
simulation_46,na,na,24,0.5,48,simulated
simulation_47,na,na,20,0.4166666666666667,48,simulated
simulation_48,na,na,23,0.4791666666666667,48,simulated
simulation_49,na,na,19,0.3958333333333333,48,simulated
simulation_50,na,na,17,0.3541666666666667,48,simulated
simulation_51,na,na,21,0.4375,48,simulated
simulation_52,na,na,17,0.3541666666666667,48,simulated
simulation_53,na,na,19,0.3958333333333333,48,simulated
simulation_54,na,na,19,0.3958333333333333,48,simulated
simulation_55,na,na,23,0.4791666666666667,48,simulated
simulation_56,na,na,18,0.375,48,simulated
simulation_57,na,na,22,0.4583333333333333,48,simulated
simulation_58,na,na,23,0.4791666666666667,48,simulated
simulation_59,na,na,20,0.4166666666666667,48,simulated
simulation_60,na,na,26,0.5416666666666666,48,simulated
simulation_61,na,na,22,0.4583333333333333,48,simulated
simulation_62,na,na,23,0.4791666666666667,48,simulated
simulation_63,na,na,18,0.375,48,simulated
simulation_64,na,na,18,0.375,48,simulated
simulation_65,na,na,21,0.4375,48,simulated
simulation_66,na,na,20,0.4166666666666667,48,simulated
simulation_67,na,na,19,0.3958333333333333,48,simulated
simulation_68,na,na,21,0.4375,48,simulated
simulation_69,na,na,20,0.4166666666666667,48,simulated
simulation_70,na,na,19,0.3958333333333333,48,simulated
simulation_71,na,na,17,0.3541666666666667,48,simulated
simulation_72,na,na,21,0.4375,48,simulated
simulation_73,na,na,22,0.4583333333333333,48,simulated
simulation_74,na,na,23,0.4791666666666667,48,simulated
simulation_75,na,na,24,0.5,48,simulated
simulation_76,na,na,19,0.3958333333333333,48,simulated
simulation_77,na,na,22,0.4583333333333333,48,simulated
simulation_78,na,na,20,0.4166666666666667,48,simulated
simulation_79,na,na,21,0.4375,48,simulated
simulation_80,na,na,18,0.375,48,simulated
simulation_81,na,na,19,0.3958333333333333,48,simulated
simulation_82,na,na,21,0.4375,48,simulated
simulation_83,na,na,22,0.4583333333333333,48,simulated
simulation_84,na,na,18,0.375,48,simulated
simulation_85,na,na,23,0.4791666666666667,48,simulated
simulation_86,na,na,21,0.4375,48,simulated
simulation_87,na,na,17,0.3541666666666667,48,simulated
simulation_88,na,na,22,0.4583333333333333,48,simulated
simulation_89,na,na,20,0.4166666666666667,48,simulated
simulation_90,na,na,21,0.4375,48,simulated
simulation_91,na,na,22,0.4583333333333333,48,simulated
simulation_92,na,na,26,0.5416666666666666,48,simulated
simulation_93,na,na,21,0.4375,48,simulated
simulation_94,na,na,18,0.375,48,simulated
simulation_95,na,na,21,0.4375,48,simulated
simulation_96,na,na,18,0.375,48,simulated
simulation_97,na,na,22,0.4583333333333333,48,simulated
simulation_98,na,na,18,0.375,48,simulated
simulation_99,na,na,17,0.3541666666666667,48,simulated
simulation_100,na,na,21,0.4375,48,simulated
simulation_101,na,na,19,0.3958333333333333,48,simulated
simulation_102,na,na,22,0.4583333333333333,48,simulated
simulation_103,na,na,20,0.4166666666666667,48,simulated
simulation_104,na,na,19,0.3958333333333333,48,simulated
simulation_105,na,na,15,0.3125,48,simulated
simulation_106,na,na,20,0.4166666666666667,48,simulated
simulation_107,na,na,19,0.3958333333333333,48,simulated
simulation_108,na,na,21,0.4375,48,simulated
simulation_109,na,na,19,0.3958333333333333,48,simulated
simulation_110,na,na,23,0.4791666666666667,48,simulated
simulation_111,na,na,22,0.4583333333333333,48,simulated
simulation_112,na,na,18,0.375,48,simulated
simulation_113,na,na,20,0.4166666666666667,48,simulated
simulation_114,na,na,20,0.4166666666666667,48,simulated
simulation_115,na,na,20,0.4166666666666667,48,simulated
simulation_116,na,na,19,0.3958333333333333,48,simulated
simulation_117,na,na,19,0.3958333333333333,48,simulated
simulation_118,na,na,17,0.3541666666666667,48,simulated
simulation_119,na,na,20,0.4166666666666667,48,simulated
simulation_120,na,na,20,0.4166666666666667,48,simulated
simulation_121,na,na,21,0.4375,48,simulated
simulation_122,na,na,22,0.4583333333333333,48,simulated
simulation_123,na,na,19,0.3958333333333333,48,simulated
simulation_124,na,na,20,0.4166666666666667,48,simulated
simulation_125,na,na,22,0.4583333333333333,48,simulated
simulation_126,na,na,22,0.4583333333333333,48,simulated
simulation_127,na,na,20,0.4166666666666667,48,simulated
simulation_128,na,na,23,0.4791666666666667,48,simulated
simulation_129,na,na,19,0.3958333333333333,48,simulated
simulation_130,na,na,25,0.5208333333333334,48,simulated
simulation_131,na,na,19,0.3958333333333333,48,simulated
simulation_132,na,na,19,0.3958333333333333,48,simulated
simulation_133,na,na,19,0.3958333333333333,48,simulated
simulation_134,na,na,17,0.3541666666666667,48,simulated
simulation_135,na,na,24,0.5,48,simulated
simulation_136,na,na,18,0.375,48,simulated
simulation_137,na,na,21,0.4375,48,simulated
simulation_138,na,na,18,0.375,48,simulated
simulation_139,na,na,20,0.4166666666666667,48,simulated
simulation_140,na,na,17,0.3541666666666667,48,simulated
simulation_141,na,na,22,0.4583333333333333,48,simulated
simulation_142,na,na,22,0.4583333333333333,48,simulated
simulation_143,na,na,22,0.4583333333333333,48,simulated
simulation_144,na,na,20,0.4166666666666667,48,simulated
simulation_145,na,na,20,0.4166666666666667,48,simulated
simulation_146,na,na,20,0.4166666666666667,48,simulated
simulation_147,na,na,21,0.4375,48,simulated
simulation_148,na,na,21,0.4375,48,simulated
simulation_149,na,na,19,0.3958333333333333,48,simulated
simulation_150,na,na,19,0.3958333333333333,48,simulated
simulation_151,na,na,21,0.4375,48,simulated
simulation_152,na,na,22,0.4583333333333333,48,simulated
simulation_153,na,na,20,0.4166666666666667,48,simulated
simulation_154,na,na,20,0.4166666666666667,48,simulated
simulation_155,na,na,20,0.4166666666666667,48,simulated
simulation_156,na,na,22,0.4583333333333333,48,simulated
simulation_157,na,na,22,0.4583333333333333,48,simulated
simulation_158,na,na,18,0.375,48,simulated
simulation_159,na,na,20,0.4166666666666667,48,simulated
simulation_160,na,na,20,0.4166666666666667,48,simulated
simulation_161,na,na,21,0.4375,48,simulated
simulation_162,na,na,21,0.4375,48,simulated
simulation_163,na,na,23,0.4791666666666667,48,simulated
simulation_164,na,na,18,0.375,48,simulated
simulation_165,na,na,20,0.4166666666666667,48,simulated
simulation_166,na,na,22,0.4583333333333333,48,simulated
simulation_167,na,na,20,0.4166666666666667,48,simulated
simulation_168,na,na,19,0.3958333333333333,48,simulated
simulation_169,na,na,22,0.4583333333333333,48,simulated
simulation_170,na,na,19,0.3958333333333333,48,simulated
simulation_171,na,na,19,0.3958333333333333,48,simulated
simulation_172,na,na,16,0.3333333333333333,48,simulated
simulation_173,na,na,19,0.3958333333333333,48,simulated
simulation_174,na,na,20,0.4166666666666667,48,simulated
simulation_175,na,na,20,0.4166666666666667,48,simulated
simulation_176,na,na,22,0.4583333333333333,48,simulated
